"CONTRATO","PNCP_PROCESSO","EMPRESA","Processo do pagamento","É ATA?","POSSUI ADITIVO?","TIPO DE ADITIVO","VIGÊNCIA","VALOR DO CONTRATO","VALOR LIQUIDADO","SALDO"
"025","05055033000152-1-000063/2025","INOVA ODONTO MEDICA LTDA","3958-2024-SEMEC","Não","Não","-","02/06/2025 a 01/06/2026","3780","0","3780"
"026","05055033000152-1-000003/2025","RONEY BENEDITO XAVIER GUIMARAES","17528/2024 - SEMEC","Não","Não","-","13/01/2025 a 13/01/2027","455576.64","0","455576.64"
"026","05055033000152-1-000064/2025","IBBA INDUSTRIA E COMERCIO DE BEBEDOURO LTDA","3958-2024-SEMEC","Não","Não","-","02/06/2025 a 01/06/2026","310100","0","310100"
"027","05055033000152-1-000065/2025","SUL AGUA EQUIPAMENTOS LTDA","3958-2024-SEMEC","Não","Não","-","02/06/2025 a 01/06/2026","88529.21","0","88529.21"
"028","05055033000152-1-000069/2025","INFINITI EMPREENDIMENTOS LTDA","8281-2025-SEMEC","Não","Não","-","05/06/2025 a 04/06/2026","1045","0","1045"
"029","05055033000152-1-000070/2025","LUMA COMERCIO E SERVICOS LTDA","8281-2025-SEMEC","Não","Não","-","05/06/2025 a 04/06/2026","11050","0","11050"
"03","09551008000110-1-000001/2025","T DE S M MATOS LTDA","209/2025","Não","Não","-","15/09/2025 a 14/10/2025","15500","0","15500"
"030","05055033000152-1-000033/2025","ANGELICA DE CINTRA SANTOS ALENCAR VASCONCELOS","18057-2024-SEMEC","Não","Não","-","03/02/2025 a 03/02/2027","139088.4","0","139088.4"
"030","05055033000152-1-000071/2025","STAR COMERCIO DE ALIMENTOS LTDA","8281-2025-SEMEC","Não","Não","-","05/06/2025 a 04/06/2026","15225","0","15225"
"031","05055033000152-1-000072/2025","TITANS COMERCIAL E CONTRUCOES LTDA","8281-2025-SEMEC","Não","Não","-","05/06/2025 a 04/06/2026","527","0","527"
"032","05055033000152-1-000073/2025","POLY COMERCIO E SERVICOS LTDA","8281-2025-SEMEC","Não","Não","-","05/06/2025 a 04/06/2026","301","0","301"
"033","05055009000628-1-000002/2024","EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.","596/2024-GMB","Não","Não","-","01/01/2025 a 01/01/2035","550000","0","550000"
